,China,Distributor,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Japan,Movie,Russia - CIS,United Kingdom,UsDist,UsRelease,WW_gross,dummy2,movie,updatedGenre
0,124159138.0,BV,936700000.0,45.3,1131600000.0,54.7,97862640.0,Star Wars: The Force Awakens,25952440.0,182474597.0,Buena Vista,2015-12-18,2068200000.0,,starwars7,Sci-Fi Fantasy
1,228740000.0,Uni.,652300000.0,39.0,1018100000.0,61.0,74593781.0,Jurassic World,23420356.0,99669369.0,Universal,2015-06-12,1670400000.0,,jurassicpark4,Horror
2,390910000.0,Uni.,353000000.0,23.3,1163000000.0,76.7,30810953.0,Furious 7,34016389.0,59927904.0,Universal,2015-04-03,1516000000.0,,fast7,Action
3,240110000.0,BV,459000000.0,32.7,946400000.0,67.3,26373434.0,Avengers: Age of Ultron,34319424.0,76623201.0,Buena Vista,2015-05-01,1405400000.0,,avengers2,Action
4,68490000.0,Uni.,336000000.0,29.0,823400000.0,71.0,42726353.0,Minions,30015860.0,72674232.0,"July 10, 2015",,1159400000.0,,minions,
5,83509789.0,Sony,200100000.0,22.7,680600000.0,77.3,24231095.0,Spectre,11584933.0,135461629.0,Sony / Columbia,2015-11-06,880700000.0,,bond24,Action
6,15314000.0,BV,356500000.0,41.6,501000000.0,58.4,32500000.0,Inside Out,16710083.0,59436933.0,"June 19, 2015",,857400000.0,,pixar2014,
7,135653541.0,Par.,195000000.0,28.6,487300000.0,71.4,42091079.0,Mission: Impossible - Rogue Nation,9940870.0,31936699.0,Paramount,2015-07-31,682300000.0,,mi5,Action
8,21525450.0,LGF,281700000.0,43.1,371700000.0,56.9,1225393.0,The Hunger Games: Mockingjay - Part 2,10161646.0,43154684.0,Lionsgate,2015-11-20,653400000.0,,hungergames4,Action
9,94932731.0,Fox,228400000.0,36.2,401700000.0,63.8,26943966.0,The Martian,17706103.0,33937841.0,Fox,2015-10-02,630200000.0,,scott2016,Sci-Fi
10,,Uni.,166200000.0,29.1,404800000.0,70.9,3622898.0,Fifty Shades of Grey,17659358.0,51603774.0,"February 13, 2015",,571000000.0,,fiftyshadesofgrey,
11,71570000.0,BV,201200000.0,37.0,342400000.0,63.0,47180932.0,Cinderella (2015),11464091.0,32842481.0,Buena Vista,2015-03-13,543500000.0,,cinderella2015,Fantasy
12,58684119.0,Fox,183600000.0,34.5,349300000.0,65.5,5467020.0,The Revenant,16193801.0,32888019.0,Fox,2015-12-25,533000000.0,,revenant,Action
13,105370038.0,BV,180200000.0,34.7,339200000.0,65.3,9670913.0,Ant-Man,11500000.0,25190193.0,Buena Vista,2015-07-17,519400000.0,,antman,Action
14,103190000.0,WB,155200000.0,32.7,318800000.0,67.3,2354281.0,San Andreas,10094957.0,17630829.0,Warner Bros.,2015-05-29,474000000.0,,sanandreas,Action
15,18701176.0,Sony,169700000.0,35.9,303500000.0,64.1,127816.0,Hotel Transylvania 2,15885694.0,29832652.0,"September 25, 2015",,473200000.0,,hoteltransylvania2,
16,113175898.0,Par.,89800000.0,20.4,350800000.0,79.6,22134005.0,Terminator: Genisys,20132059.0,16984618.0,Paramount,2015-07-01,440600000.0,,terminator2015,Action
17,74667000.0,Fox,128300000.0,31.0,286100000.0,69.0,7487071.0,Kingsman: The Secret Service,12622305.0,24160744.0,Fox,2015-02-13,414400000.0,,secretservice,Action
18,27700000.0,Fox,177400000.0,46.0,208600000.0,54.0,,Home (2015),17533046.0,38895218.0,"March 27, 2015",,386000000.0,,happysmekday,
19,,WB,153600000.0,40.6,224800000.0,59.4,12792143.0,Mad Max: Fury Road,12488915.0,27107031.0,Warner Bros.,2015-05-15,378400000.0,,furyroad,Action
20,,BV,123100000.0,37.1,208800000.0,62.9,14923467.0,The Good Dinosaur,4689486.0,21333175.0,Buena Vista,2015-11-25,331900000.0,,pixar2013,Animation
21,32200000.0,Fox,89300000.0,27.3,237200000.0,72.7,4144522.0,Taken 3,3002623.0,26894435.0,Fox,2015-01-09,326500000.0,,taken3,Action
22,8762372.0,Par.,163000000.0,50.4,160400000.0,49.6,212445.0,The SpongeBob Movie: Sponge Out of Water,8862353.0,11898007.0,"February 6, 2015",,323400000.0,,spongebob2,
23,29575097.0,Fox,81700000.0,26.2,230600000.0,73.8,3382867.0,Maze Runner: The Scorch Trials,8901034.0,13288343.0,Fox,2015-09-18,312300000.0,,mazerunner2,Action
24,18039876.0,LG/S,130200000.0,43.8,167100000.0,56.2,,The Divergent Series: Insurgent,9498595.0,11869289.0,Lionsgate/Summit,2015-03-20,297300000.0,,insurgent,Action
25,,Uni.,184300000.0,64.1,103200000.0,35.9,,Pitch Perfect 2,249581.0,27259230.0,Universal,2015-05-15,287500000.0,,pitchperfect2,Comedy
